Activity,Activity_Type,Activity_Qualifier,Activity_Value,Compound_CID,Protein_Accession,Label
Active,IC50,=,0.0012,153697687.0,O60885,1.0
Active,IC50,=,0.4,168296231.0,O60885,1.0
Active,IC50,=,0.041,146018691.0,O60885,1.0
Active,IC50,=,0.0724,154688881.0,O60885,1.0
Active,IC50,=,0.157,168296881.0,O60885,1.0
Active,IC50,=,0.3065,168276222.0,O60885,1.0
Active,IC50,=,0.2625,154688950.0,O60885,1.0
Active,IC50,=,0.3215,168288645.0,O60885,1.0
Active,Kd,=,9.5e-05,162394475.0,O60885,1.0
Active,Kd,=,0.0016,162394473.0,O60885,1.0
Active,Kd,=,0.0023,164607223.0,O60885,1.0
Active,Kd,=,0.0028,163321847.0,O60885,1.0
Active,Kd,=,0.0017,163321848.0,O60885,1.0
Active,Kd,=,0.0091,163321846.0,O60885,1.0
Active,Kd,=,0.0031,164946925.0,O60885,1.0
Active,Kd,=,0.082,118021879.0,O60885,1.0
Active,IC50,=,0.004,168273940.0,O60885,1.0
Active,IC50,<,0.5,156600938.0,O60885,1.0
Active,IC50,<,0.5,118027870.0,O60885,1.0
Active,IC50,<,0.5,118021816.0,O60885,1.0
Active,IC50,<,0.5,118021897.0,O60885,1.0
Active,IC50,<,0.5,118022369.0,O60885,1.0
Active,IC50,<,0.5,146599965.0,O60885,1.0
Active,IC50,<,0.5,123835444.0,O60885,1.0
Active,IC50,<,0.5,118022684.0,O60885,1.0
Active,IC50,<,0.5,118021950.0,O60885,1.0
Active,IC50,<,0.5,118022096.0,O60885,1.0
Active,IC50,<,0.5,118021626.0,O60885,1.0
Active,IC50,<,0.5,118022690.0,O60885,1.0
Active,IC50,<,0.5,123350652.0,O60885,1.0
Active,IC50,<,0.5,123198120.0,O60885,1.0
Active,IC50,<,0.5,118027831.0,O60885,1.0
Active,IC50,<,0.5,123835845.0,O60885,1.0
Active,IC50,=,0.79433,145988346.0,O60885,1.0
Active,IC50,=,0.283,134163707.0,O60885,1.0
Active,IC50,=,0.63096,145981148.0,O60885,1.0
Active,IC50,=,0.39811,142577823.0,O60885,1.0
Active,IC50,=,0.50119,145989187.0,O60885,1.0
Active,IC50,=,0.63096,145989699.0,O60885,1.0
Active,IC50,,0.01,148784918.0,O60885,1.0
Active,Kd,=,0.498,135398125.0,O60885,1.0
Active,IC50,=,0.69,135398124.0,O60885,1.0
Active,IC50,,0.404,122172648.0,O60885,1.0
Active,IC50,=,0.002,145989682.0,O60885,1.0
Active,Ki,,0.00018,122172662.0,O60885,1.0
Active,Ki,,6.2e-05,123131637.0,O60885,1.0
Active,Kd,,0.011,49871818.0,O60885,1.0
Active,Kd,,2.6e-05,122172651.0,O60885,1.0
Active,Kd,,2.9e-05,122172647.0,O60885,1.0
Active,Kd,,9.1e-06,122172649.0,O60885,1.0
Active,Kd,,6.6e-06,122172665.0,O60885,1.0
Active,Kd,,4.7e-05,122172645.0,O60885,1.0
Active,IC50,,0.014,76071897.0,O60885,1.0
Active,IC50,=,0.028,162653363.0,O60885,1.0
Active,IC50,=,0.043,162675982.0,O60885,1.0
Active,IC50,,0.0534,123131634.0,O60885,1.0
Active,IC50,,0.108,123131633.0,O60885,1.0
Active,IC50,,0.0103,123131631.0,O60885,1.0
Active,IC50,,0.0295,122172640.0,O60885,1.0
Active,IC50,,0.0586,122172657.0,O60885,1.0
Active,IC50,,0.054,122172638.0,O60885,1.0
Active,IC50,,0.158,123131639.0,O60885,1.0
Active,IC50,,0.0115,122172655.0,O60885,1.0
Active,IC50,,0.0274,122172654.0,O60885,1.0
Active,Kd,=,0.13,118352301.0,O60885,1.0
Active,Kd,<,0.01,153617033.0,O60885,1.0
Active,Kd,=,0.06,153617024.0,O60885,1.0
Active,Kd,=,0.17,153617030.0,O60885,1.0
Active,Kd,=,0.3,149633264.0,O60885,1.0
Active,IC50,,0.061,76071531.0,O60885,1.0
Active,IC50,,0.009,76072371.0,O60885,1.0
Active,IC50,,0.004,76071651.0,O60885,1.0
Active,IC50,,0.003,90162042.0,O60885,1.0
Active,IC50,,0.031,76070953.0,O60885,1.0
Active,IC50,,0.031,76071653.0,O60885,1.0
Active,Kd,=,0.018,129182189.0,O60885,1.0
Active,IC50,,0.013,76072138.0,O60885,1.0
Active,IC50,,0.012,76070844.0,O60885,1.0
Active,IC50,,0.041,76071533.0,O60885,1.0
Active,IC50,,0.004,76070846.0,O60885,1.0
Active,IC50,,0.015,76070627.0,O60885,1.0
Active,IC50,,0.028,76070628.0,O60885,1.0
Active,IC50,,0.013,76072373.0,O60885,1.0
Active,IC50,,0.009,76071899.0,O60885,1.0
Active,IC50,,0.003,76072256.0,O60885,1.0
Active,IC50,,0.005,76072259.0,O60885,1.0
Active,IC50,,0.009,76071896.0,O60885,1.0
Active,Kd,=,0.072,124182258.0,O60885,1.0
Active,Kd,=,0.25,129166233.0,O60885,1.0
Active,IC50,,0.01,76072014.0,O60885,1.0
Active,IC50,,0.007,76072012.0,O60885,1.0
Active,IC50,,0.018,76071649.0,O60885,1.0
Active,Kd,=,0.14,129166068.0,O60885,1.0
Active,Kd,=,0.059,129165968.0,O60885,1.0
Active,Kd,=,0.028,129165718.0,O60885,1.0
Active,Kd,=,0.056,129166181.0,O60885,1.0
Active,IC50,,0.014,76070629.0,O60885,1.0
Active,Kd,=,0.086,129166055.0,O60885,1.0
Active,IC50,,0.049,76071771.0,O60885,1.0
Active,IC50,,0.011,76072258.0,O60885,1.0
Active,Kd,=,0.079,129165795.0,O60885,1.0
Active,Kd,=,0.06,129165758.0,O60885,1.0
Active,Kd,=,0.092,129166135.0,O60885,1.0
Active,Kd,=,0.25,129165841.0,O60885,1.0
Active,Kd,=,0.36,129165698.0,O60885,1.0
Active,Kd,=,0.17,129165803.0,O60885,1.0
Active,Kd,=,0.095,129166122.0,O60885,1.0
Active,Kd,=,0.15,129166001.0,O60885,1.0
Active,Kd,=,0.15,129166094.0,O60885,1.0
Active,Kd,=,0.055,121342355.0,O60885,1.0
Active,Kd,=,0.056,129165923.0,O60885,1.0
Active,Kd,=,0.48,129166228.0,O60885,1.0
Active,Kd,=,0.13,145987068.0,O60885,1.0
Active,IC50,,0.005,90162265.0,O60885,1.0
Active,IC50,,0.01,76072260.0,O60885,1.0
Active,Kd,=,0.071,129165976.0,O60885,1.0
Active,Kd,=,0.27,129165750.0,O60885,1.0
Active,IC50,,0.027,117891977.0,O60885,1.0
Active,IC50,,0.128,117891944.0,O60885,1.0
Active,IC50,,0.136,117892033.0,O60885,1.0
Active,IC50,,0.038,117892024.0,O60885,1.0
Active,IC50,,0.045,117892007.0,O60885,1.0
Active,IC50,,0.175,117891962.0,O60885,1.0
Active,IC50,,0.166,117891985.0,O60885,1.0
Active,IC50,,0.07,117892021.0,O60885,1.0
Active,IC50,,0.095,117892004.0,O60885,1.0
Active,IC50,,0.045,117891971.0,O60885,1.0
Active,IC50,,0.126,76070631.0,O60885,1.0
Active,IC50,,0.007,76072372.0,O60885,1.0
Active,IC50,,0.026,90161017.0,O60885,1.0
Active,IC50,=,0.26,162670578.0,O60885,1.0
Active,IC50,=,0.67,137650342.0,O60885,1.0
Active,IC50,,0.062,117891989.0,O60885,1.0
Active,IC50,,0.063,117891978.0,O60885,1.0
Active,IC50,,0.142,117891955.0,O60885,1.0
Active,IC50,,0.012,117891931.0,O60885,1.0
Active,IC50,,0.22,117892012.0,O60885,1.0
Active,IC50,,0.018,117891957.0,O60885,1.0
Active,IC50,,0.095,124221563.0,O60885,1.0
Active,IC50,,0.117,117892010.0,O60885,1.0
Active,IC50,,0.019,117891966.0,O60885,1.0
Active,IC50,,0.19,117891940.0,O60885,1.0
Active,IC50,,0.133,117892032.0,O60885,1.0
Active,IC50,,0.073,117892030.0,O60885,1.0
Active,IC50,,0.217,117892014.0,O60885,1.0
Active,IC50,,0.038,117891984.0,O60885,1.0
Active,IC50,,0.012,117889798.0,O60885,1.0
Active,IC50,,0.295,117891999.0,O60885,1.0
Active,IC50,,0.65,117891964.0,O60885,1.0
Active,IC50,,0.12,117891994.0,O60885,1.0
Active,IC50,,0.055,117891968.0,O60885,1.0
Active,IC50,,0.119,117892022.0,O60885,1.0
Active,IC50,,0.034,117891981.0,O60885,1.0
Active,IC50,,0.102,117891963.0,O60885,1.0
Active,IC50,,0.023,117891958.0,O60885,1.0
Active,IC50,,0.096,117891942.0,O60885,1.0
Active,IC50,,0.018,117889481.0,O60885,1.0
Active,IC50,,0.05,117892002.0,O60885,1.0
Active,IC50,,0.192,117891935.0,O60885,1.0
Active,IC50,,0.023,117892019.0,O60885,1.0
Active,IC50,,0.188,117892003.0,O60885,1.0
Active,IC50,,0.03,117891974.0,O60885,1.0
Active,IC50,,0.109,117892027.0,O60885,1.0
Active,IC50,,0.211,117891998.0,O60885,1.0
Active,IC50,=,0.05012,162643583.0,O60885,1.0
Active,IC50,=,0.63096,162647977.0,O60885,1.0
Active,IC50,=,0.01995,162655351.0,O60885,1.0
Active,IC50,=,0.79433,146681131.0,O60885,1.0
Active,IC50,=,0.03162,146681130.0,O60885,1.0
Active,IC50,,0.169,117891993.0,O60885,1.0
Active,IC50,,0.054,117891967.0,O60885,1.0
Active,IC50,,0.547,117891926.0,O60885,1.0
Active,IC50,,0.697,117889570.0,O60885,1.0
Active,IC50,,0.072,117891941.0,O60885,1.0
